2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    | Python: 3.9.25 (main, Nov 12 2025, 00:00:00) 
[GCC 11.5.0 20240719 (Red Hat 11.5.0-5)]
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    | CWD: /home/ec2-user/shoonya_platform
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    | 📋 Log files (rotating, 50MB max, 10 backups):
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - execution_service.log (main service)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - trading_bot.log (bot logic)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - command_service.log (command execution)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - order_watcher.log (order tracking)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - risk_manager.log (risk management)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - execution_guard.log (trade guard)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    |    - dashboard.log (dashboard API)
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    | Loading configuration...
2026-02-09 11:01:48 | INFO     | EXECUTION_SERVICE    | Initializing ShoonyaBot (SINGLE INSTANCE)
2026-02-09 11:02:06 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 11:02:06 | INFO     | EXECUTION_SERVICE    | ✅ Global bot instance registered
2026-02-09 11:02:06 | INFO     | EXECUTION_SERVICE    | Signal handlers installed
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    | Initializing execution HTTP service...
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    | Execution service configuration:
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    |   Host       : 0.0.0.0
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    |   Port       : 5000
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    |   Threads    : 4
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    |   Telegram   : ENABLED
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    | Starting dashboard server...
2026-02-09 11:02:07 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 11:02:09 | INFO     | EXECUTION_SERVICE    | ✅ Dashboard started on port 8000 (shared session)
2026-02-09 11:02:09 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-09 11:02:09 | INFO     | EXECUTION_SERVICE    | ✅ EXECUTION SERVICE READY — ACCEPTING WEBHOOKS
2026-02-09 11:02:09 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-09 11:02:13 | INFO     | EXECUTION_SERVICE    | 📊 Dashboard starting | PID=2820393 | Thread=DashboardThread
2026-02-09 12:02:06 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 12:38:54 | WARNING  | EXECUTION_SERVICE    | 🛑 Received shutdown signal: 15
2026-02-09 12:38:54 | INFO     | EXECUTION_SERVICE    | Initiating graceful shutdown sequence...
2026-02-09 12:38:54 | INFO     | EXECUTION_SERVICE    | Shutting down trading bot...
2026-02-09 12:38:55 | INFO     | EXECUTION_SERVICE    | Stopping dashboard server...
2026-02-09 12:38:55 | INFO     | EXECUTION_SERVICE    | Waiting for dashboard thread to terminate...
2026-02-09 12:38:56 | INFO     | EXECUTION_SERVICE    | Dashboard server stopped
2026-02-09 12:38:56 | INFO     | EXECUTION_SERVICE    | ✅ Shutdown complete
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | 🚀 STARTING EXECUTION SERVICE (PRODUCTION — FREEZE-READY)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | PID: 2921223
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | Python: 3.9.25 (main, Nov 12 2025, 00:00:00) 
[GCC 11.5.0 20240719 (Red Hat 11.5.0-5)]
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | CWD: /home/ec2-user/shoonya_platform
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | 📋 Log files (rotating, 50MB max, 10 backups):
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - execution_service.log (main service)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - trading_bot.log (bot logic)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - command_service.log (command execution)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - order_watcher.log (order tracking)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - risk_manager.log (risk management)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - execution_guard.log (trade guard)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    |    - dashboard.log (dashboard API)
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | Loading configuration...
2026-02-09 20:33:50 | INFO     | EXECUTION_SERVICE    | Initializing ShoonyaBot (SINGLE INSTANCE)
2026-02-09 20:34:08 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 20:34:08 | INFO     | EXECUTION_SERVICE    | ✅ Global bot instance registered
2026-02-09 20:34:08 | INFO     | EXECUTION_SERVICE    | Signal handlers installed
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    | Initializing execution HTTP service...
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    | Execution service configuration:
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    |   Host       : 0.0.0.0
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    |   Port       : 5000
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    |   Threads    : 4
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    |   Telegram   : ENABLED
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    | Starting dashboard server...
2026-02-09 20:34:09 | INFO     | EXECUTION_SERVICE    | 📦 Loading ScriptMaster from disk
2026-02-09 20:34:11 | INFO     | EXECUTION_SERVICE    | ✅ Dashboard started on port 8000 (shared session)
2026-02-09 20:34:11 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-09 20:34:11 | INFO     | EXECUTION_SERVICE    | ✅ EXECUTION SERVICE READY — ACCEPTING WEBHOOKS
2026-02-09 20:34:11 | INFO     | EXECUTION_SERVICE    | ======================================================================
